DataSet,Clusters,Silhouette,Davies-Bouldin
1,3,0.6340224006747667,0.5025226432917522
2,6,0.4727899378846087,0.6824353479475452
3,3,0.6970396054433177,0.6910331226753698
4,2,0.7212008118828208,0.7806789873628751
5,2,0.7652130119750322,0.7440090472482014
6,2,0.797292434151555,0.6780501773154582
7,2,0.8901220349751114,0.23306896896340004
8,2,0.8784519482564537,0.5833678402665401
9,2,0.8894282432351159,0.6326616697393364
10,2,0.9755928740879599,0.2241399938488155
11,2,0.9783994734531071,0.3577456492823972
12,2,0.7550327753251154,0.5623769905361814
13,2,0.8990802815261616,0.046447205380873574
14,2,0.9082012605930341,0.380788833809056
15,2,0.9795311073020644,0.011942071843416389
16,4,0.7431644953754436,0.48951265544355105
17,4,0.7885759707838252,0.48775226479407957
18,5,0.7808107677158295,0.4148840625348006
19,2,0.9482393673989057,0.6593409353139715
20,3,0.9487094764979507,0.29852644421267366
21,2,0.9774799756250054,0.3550313608020739
22,2,0.8822685644265383,0.29804451972234963
23,2,0.6580359116829125,0.6751702060981478
24,3,0.5638709813498141,0.6603780136937661
25,3,0.6149847450305725,0.49892214823604025
26,2,0.9007991210366074,0.23918319073568617
27,2,0.9090554102106184,0.2857704235742409
28,2,0.9083404165078508,0.6486047929094814
29,2,0.6551761382433452,0.5555059899108936
30,2,0.8609179613488581,0.07740692315993045
31,2,0.8239587241775962,0.7296448942430895
32,2,0.9919250202084062,0.41608434980033104
33,2,0.8718234821111654,0.7342140893753044
34,2,0.8793843769373053,0.6682656813553225
35,2,0.8533515956551454,0.8147673455343974
36,2,0.6196634674832755,0.7424504366761031
37,4,0.5592249003776995,0.4726935271563505
38,2,0.8783444254908341,0.20661443528109383
39,2,0.6727011468099522,0.5301399569999071
40,8,0.4801609959600138,0.18306306973927025
41,2,0.641311749594153,0.684001203509524
42,2,0.6466692639356437,0.6888193869264889
43,2,0.6634777586609995,0.7163134925978601
44,2,0.8394953969860529,0.4083567641548619
45,6,0.4551561069444586,0.4208477375227178
46,3,0.7456703212721107,0.2479266198253732
47,3,0.7700693825181899,0.768677378163041
48,2,0.9734894053491279,0.4007700560732555
49,2,0.9734890016591778,0.4129100387213285
50,2,0.9282493385853536,0.030997375006142712
51,5,0.5969462405887798,0.31876211350934114
52,2,0.9166563365784206,0.278675873476233
53,2,0.9268506323216285,0.2455422857430527
54,2,0.8592317667336478,0.5676725394860487
55,2,0.8750303665751867,0.5780232853614171
56,3,0.7075686182034526,0.3765967526445417
